International Conference on Machine Learning, 117
IJDSN, 116
Image Vision Comput., 116
Extended abstracts of the Conference on Human Factors in Computing Systems, 115
Computer Supported Cooperative Work, 114
IEEE Conference on Decision and Control, 114
International Symposium on Circuits and Systems, 114
SIGMOD Record, 114
International Conference on Computer-Aided Design and Computer Graphics, 113
Concurrency and Computation: Practice and Experience, 112
Conference on Computer Vision and Pattern Recognition, 112
Global Communications Conference, 111
GRAPP, 110
EuroVis: Joint Eurographics, 109
Human Factors in Computing Systems, 109
J. Graph Algorithms Appl., 109
Neural Information Processing, 109
Advances in Knowledge Discovery and Data Mining, 108
Parallel Computing, 108
ACM/IEEE Joint Conference on Digital Libraries, 107
Annual Symposium on Computational Geometry, 107
Database and Expert Systems Applications, 107
Annual Meeting of the Cognitive Science Society, 106
J. Electronic Imaging, 106
Algorithms, 105
Human Vision and Electronic Imaging, 105
IEEE Geosci. Remote Sensing Lett., 105
Mathematics with Applications, 104
Computer Graphics International, 103
IEEE International Conference on Cluster Computing, 103
IEEE International Conference on Data Engineering, 103
IEEE Trans. Vehicular Technology, 103
International Conference on Cyberworlds, 103
Joint Eurographics and IEEE TCVG Symposium on Visualization, 103
SIAM J. Comput., 103
British Machine Vision Conference, 102
JCP, 101
The ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, 101
ACM SIGGRAPH/Eurographics Symposium on Computer Animation, 100
Annual Meeting of the Association for Computational Linguistics, 100
Computer and Computing Technologies in Agriculture, 100
Discrete Mathematics, 100
The -th International Conference in Central Europe on Computer Graphics, 100
IEEE Communications Letters, 99
Personal and Ubiquitous Computing, 99
Geosciences, 98
International Working Conference on Advanced Visual Interfaces, 98
SIGIR, 98
Eurographics Symposium on Parallel Graphics and Visualization, 97
Simulation, 97
Genetic and Evolutionary Computation Conference, 96
IEEE International Symposium on Parallel and Distributed Processing, 96
IEEE Symposium on Large Data Analysis and Visualization, 96
International Conference on Very Large Data Bases, 96
Computational Science and Its Applications, 95
International Conference for High Performance Computing, 95
Color and Imaging Conference, 94
IEEE Trans. Software Eng., 94
J. Digital Imaging, 94
Hawaii International International Conference on Systems Science, 93
IEEE International Conference on Computational Science and Engineering, 93
IEICE Electronic Express, 92
Int. J. Hum. Comput. Interaction, 92
Journal of Systems and Software, 92
Conference on Empirical Methods in Natural Language Processing, 91
Annual ACM Conference on Human Factors in Computing Systems, 90
Automatica, 90
CHI Extended Abstracts on Human Factors in Computing Systems, 90
IEEE International Symposium on Circuits and Systems, 90
International Conference on Computational Intelligence and Security, 90
IEEE Signal Process. Lett., 89
J. Sci. Comput., 89
ACM Symposium on Solid and Physical Modeling, 88
J. Visualization, 88
Algorithms and Data Structures, 87
Computer Methods and Programs in Biomedicine, 87
IEEE International Conference on Parallel and Distributed Systems, 87
Principles and Practice of Constraint Programming, 87
European Signal Processing Conference, 86
Knowl.-Based Syst., 86
Machine Learning, 86
working conference on Advanced visual interfaces, 86
TAP, 85
IBM Journal of Research and Development, 84
Pacific Asia Conference on Information Systems, 84
Proceedings International Conference on Image Processing, 84
Softw. Pract. Exper., 84
IEEE Journal on Selected Areas in Communications, 83
Machine Learning and Knowledge Discovery in Databases, 83
SIAM J. Numerical Analysis, 83
Advances in Information Retrieval, 82
Advances in Neural Information Processing Systems : Annual Conference on Neural Information Processing Systems, 82
Complexity, 82
European Journal of Operational Research, 82
IEEE Trans. Instrumentation and Measurement, 82
International Conference on Document Analysis and Recognition, 82
JAMIA, 82
JSW, 82
Scientometrics, 82
ACM CIKM International Conference on Information and Knowledge Management, 81
Comp. Med. Imag. and Graph., 81
Eurographics Workshop on Rendering Techniques, 81
Jahrestagung der Deutschen Gesellschaft für Computer- und Roboterassistierte Chirurgie, 81
Discrete Applied Mathematics, 80
IEEE Trans. Wireless Communications, 80
International Conference on Machine Learning and Cybernetics, 80
Journal of Chemical Information and Modeling, 80
VISAPP, 80
Computer Communications, 79
J. Computational Applied Mathematics, 79
Winter Simulation Conference, 79
ACM Comput. Surv., 78
Data Compression Conference, 78
IACR Cryptology ePrint Archive, 78
IEEE Pervasive Computing, 78
Inf. Process. Manage., 78
International Conference on BioMedical Engineering and Informatics, 78
International Conference on Management of Data, 78
JNW, 78
Wireless Personal Communications, 78
ACM Conference on Computer Supported Cooperative Work, 77
AI Magazine, 77
IEEE Trans. Automat. Contr., 77
IEEE Trans. Information Technology in Biomedicine, 77
Interacting with Computers, 77
Medical Image Computing and Computer-Assisted Intervention -- MICCAI, 77
Computer Physics Communications, 76
IEEE MultiMedia, 76
IEEE/ACM Trans. Comput. Biology Bioinform., 76
Informatik, 76
International Conference on Wireless Communications and Signal Processing, 76
Logic Programming, 76
Twenty- AAAI Conference on Artificial Intelligence, 76
Eurographics Symposium on Geometry Processing, 75
IEEE Trans. Information Theory, 75
IEEE Trans. on Circuits and Systems, 75
ACM Conference on Recommender Systems, 74
EURASIP J. Adv. Sig. Proc., 74
IEEE Winter Conference on Applications of Computer Vision, 74
Journal of Biomedical Informatics, 74
Journal of Machine Learning Research, 74
Symposium on Interactive 3D Graphics and Games, 74
VLDB J., 74
International World Wide Web Conference, 73
Journal of WSCG, 73
Computer Graphics International Conference, 72
Entropy, 72
IEEE Trans. Smart Grid, 72
IEEE Trans. on CAD of Integrated Circuits and Systems, 72
Intelligent Robotics and Applications, 72
J. Visual Communication and Image Representation, 72
Journal of Mathematical Imaging and Vision, 72
Proceedings Supercomputing, 72
Rendering Techniques, 72
Annual Hawaii International Conference on System Sciences, 71
IEEE International Conference on Networking, 71
IEEE International Parallel and Distributed Processing Symposium, 71
IEEE Symposium on Visual Languages and Human-Centric Computing, 71
J. Applied Mathematics, 71
Neural Networks, 71
ACM/IEEE SCConference on High Performance Networking and Computing, 70
BMC Systems Biology, 70
IEEE Trans. Communications, 70
IEEE/ACM Trans. Netw., 70
IJHPCA, 70
ISPRS Int. J. Geo-Information, 70
Knowl. Inf. Syst., 70
SIGIR Forum, 70
Simulation und Visualisierung, 70
Smart Graphics, 70
Soft Comput., 70
The Annual ACM Symposium on User Interface Software and Technology, 70
International Conference on Biomedical Engineering and Informatics, 69
Journal of Intelligent and Fuzzy Systems, 69
Comp. in Bio. and Med., 68
Data Analysis, 68
Research and Advanced Technology for Digital Libraries, 68
SIGGRAPH ASIA, 68
Visual Communications and Image Processing, 68
International Conference on Distributed Computing Systems, 67
TIIS, 67
Web-Age Information Management, 67
ACM Symposium on Document Engineering, 66
Game Tools, 66
International Conference on Computer Science and Software Engineering, 66
International Joint Conference on Computer Vision, 66
Advanced Data Mining and Applications, 65
Appl. Soft Comput., 65
IEEE International Conference on Web Services, 65
International Conference on Electronic and Mechanical Engineering and Information Technology, 65
J. Comput. Syst. Sci., 65
Proceedings IEEE INFOCOM, 65
Sig. Proc.: Image Comm., 65
Algorithms and Computation, 64
Annual Symposium on Foundations of Computer Science, 64
Chemical Engineering, 64
International Conference on Computational Science, 64
VisSym, 64
Conference on Human-Computer Interaction with Mobile Devices and Services, 63
IEEE International Conference on Computer and Information Technology, 63
Inf. Syst., 63
International Conference on Scientific and Statistical Database Management, 63
SIGCSE Technical Symposium on Computer Science Education, 63
Virtual Reality, 63
ACM Trans. Database Syst., 62
Data Min. Knowl. Discov., 62
Extraction et gestion des connaissances, 62
IEEE Communications Magazine, 62
IEEE International Conference on Nano/Micro Engineered and Molecular Systems, 62
IEEE International Symposium on Personal, 62
IEEE Software, 62
IEEE Trans. Intelligent Transportation Systems, 62
International Conference on 3D Vision, 62
MEDINFO, 62
USENIX Annual Technical Conference, 62
ACM Trans. Inf. Syst., 61
Eurographics Symposium on Rendering Techniques, 61
I. J. Robotics Res., 61
IEEE Annual International Symposium on Personal, 61
